1,Follow to Midline,0,0.5,1.5
2,Follow past midline,0.75,2,2.75
3,Grasp rattle,2.75,3.75,4
4,hands together,2,3,4
5,follow 180,2.2,3.75,4.5
6,regard raisin,3,4.5,5.2
7,reaches,4.5,5,5.5
8,look for yarn,5,6.5,7
9,rake raisin,6,6.5,7.5
10,pass cube,5,7,8
11,take 2 cubes,5.8,7.2,9
12,thumb-finger grasp,7.5,9,10.3
13,bang 2 cubes held in hands,6.8,10,11
14,put block in cup,10,12.5,14
15,scribbles,12,15,16.5
16,"dump raisin, demonstrated",14,15.7,19.5
17,tower of 2 cubes,14.5,17,19
18,tower of 4 cubes,16.5,22,24
19,tower of 6 cubes,20,24.5,32
20,imitate vertical line,24.5,34,39
21,tower of 8 cubes,24,33,42
22,thumb wiggle,31,39,44