1,respond to bell,0,0,0.75
2,vocalizes,0,0,1
3,“ooh/aah”,0.75,1.5,2.75
4,laughs,1.5,2.5,3
5,squeals,1.5,2.75,4.75
6,turn to rattling sound,3,5,6
7,turn to voice,3.5,5.75,6.25
8,single syllables,4.75,6.5,7.5
9,imitate speech sounds,3,6,9
10,dada/mama non-specific,6,8,9
11,combine syllables,5.75,7.5,10.5
12,jabbers,6,8.5,12.2
13,dada/mama specific,7,10,12
14,one word,10,11,15
15,2 words,11,15,16.5
16,3 words,11.5,16,18
17,6 words,14,19,22
18,point 2 pictures,17.5,21,24
19,combine words,17.5,23,25
20,name 1 picture,18.5,24,27
21,body parts-6,19,22.5,30
22,point 4 pictures,20,24,30
23,speech half understandable,17,25,36
24,name 4 pictures,24,31,36
25,know 2 actions,24,33,37
26,know 2 adjectives,31,38,42
27,name 1 color,29,40,46
28,use of 2 objects,25,41,46
29,count 1 block,34,43,47.5
30,use of 3 objects,34,35.5,48.5
31,know 4 actions,31,39,50.5
32,speech all understandable,23.5,40,52
33,understand 4 prepositons,33,45,57
34,name 4 colors,36,51,57
35,know 3 adjectives,35,46,64